ts,match,selection,odds,edge,stake
1756588844,,,2.35,,20.00
1756588844,,,1.55,,20.00
1756588844,,,3.2,,20.00
1756588844,,,1.9,,20.00
1756588844,,,1.85,,20.00
1756588844,,,2.7,,20.00
1756588844,,,2.4,,20.00
1756588844,,,1.25,,20.00
1756588844,,,2.05,,20.00
1756588844,,,2.6,,20.00
1756589215,,,2.35,,20.00
1756589215,,,1.55,,20.00
1756589215,,,3.2,,20.00
1756589215,,,1.9,,20.00
1756589215,,,1.85,,20.00
1756589215,,,2.7,,20.00
1756589215,,,2.4,,20.00
1756589215,,,1.25,,20.00
1756589215,,,2.05,,20.00
1756589215,,,2.6,,20.00
20250831191841,,,2.35,,20.00
20250831191841,,,1.55,,20.00
20250831191841,,,3.2,,20.00
20250831191841,,,1.9,,20.00
20250831191841,,,1.85,,20.00
20250831191841,,,2.7,,20.00
20250831191841,,,2.4,,20.00
20250831191841,,,1.25,,20.00
20250831191841,,,2.05,,20.00
20250831191841,,,2.6,,20.00
20250831192609,,,2.35,,20.00
20250831192609,,,1.55,,20.00
20250831192609,,,3.2,,20.00
20250831192609,,,1.9,,20.00
20250831192609,,,1.85,,20.00
20250831192609,,,2.7,,20.00
20250831192609,,,2.4,,20.00
20250831192609,,,1.25,,20.00
20250831192609,,,2.05,,20.00
20250831192609,,,2.6,,20.00
