match_id,player_a,player_b,odds,p,result,implied,edge
M0103,Sinner,Sabalenka,3.43,0.641,1,0.29154518950437314,0.3494548104956269
M0022,Sinner,Swiatek,3.4,0.641,1,0.29411764705882354,0.3468823529411765
M0031,Osaka,Pegula,3.33,0.64,1,0.3003003003003003,0.3396996996996997
M0011,Rybakina,Zverev,3.38,0.628,0,0.2958579881656805,0.3321420118343195
M0041,Sinner,Rublev,3.37,0.6,1,0.29673590504451036,0.3032640949554896
M0115,Alcaraz,Medvedev,3.19,0.607,1,0.31347962382445144,0.29352037617554855
M0018,Alcaraz,Zverev,3.15,0.598,1,0.31746031746031744,0.28053968253968253
M0005,Osaka,Swiatek,2.69,0.643,0,0.3717472118959108,0.2712527881040892
M0105,Osaka,Swiatek,3.38,0.565,0,0.2958579881656805,0.26914201183431946
M0030,Djokovic,Sabalenka,3.22,0.573,1,0.3105590062111801,0.26244099378881985
M0023,Gauff,Zverev,2.81,0.618,1,0.35587188612099646,0.26212811387900353
M0053,Alcaraz,Rublev,3.4,0.549,1,0.29411764705882354,0.2548823529411765
M0060,Djokovic,Swiatek,3.33,0.551,0,0.3003003003003003,0.25069969969969974
M0117,Gauff,Medvedev,3.16,0.566,0,0.3164556962025316,0.24954430379746834
M0077,Rybakina,Zverev,3.3,0.549,0,0.30303030303030304,0.245969696969697
M0099,Djokovic,Medvedev,2.54,0.639,0,0.39370078740157477,0.24529921259842524
M0044,Rybakina,Zverev,2.79,0.6,1,0.35842293906810035,0.24157706093189962
M0057,Osaka,Swiatek,3.49,0.521,0,0.28653295128939826,0.23446704871060176
M0039,Alcaraz,Medvedev,3.13,0.551,0,0.3194888178913738,0.23151118210862626
M0080,Osaka,Rublev,3.14,0.549,0,0.3184713375796178,0.23052866242038222
M0000,Osaka,Pegula,2.83,0.582,0,0.35335689045936397,0.228643109540636
M0016,Alcaraz,Pegula,3.43,0.516,0,0.29154518950437314,0.22445481049562688
M0082,Sinner,Sabalenka,2.7,0.594,1,0.37037037037037035,0.22362962962962962
M0064,Rybakina,Sabalenka,3.14,0.54,0,0.3184713375796178,0.22152866242038222
M0095,Djokovic,Rublev,3.08,0.539,0,0.3246753246753247,0.21432467532467536
M0024,Alcaraz,Rublev,2.66,0.584,0,0.37593984962406013,0.20806015037593983
M0091,Djokovic,Zverev,2.83,0.559,1,0.35335689045936397,0.20564310954063608
M0020,Alcaraz,Rublev,2.68,0.577,1,0.3731343283582089,0.20386567164179104
M0100,Osaka,Zverev,2.38,0.623,1,0.42016806722689076,0.20283193277310924
M0116,Alcaraz,Sabalenka,2.65,0.578,0,0.37735849056603776,0.2006415094339622
M0061,Sinner,Swiatek,3.33,0.491,1,0.3003003003003003,0.1906996996996997
M0012,Djokovic,Rublev,2.83,0.543,1,0.35335689045936397,0.18964310954063607
M0045,Alcaraz,Zverev,2.49,0.591,1,0.4016064257028112,0.18939357429718878
M0013,Alcaraz,Pegula,2.45,0.597,1,0.4081632653061224,0.18883673469387757
M0101,Sinner,Sabalenka,2.68,0.56,0,0.3731343283582089,0.18686567164179113
M0081,Gauff,Medvedev,3.45,0.472,0,0.2898550724637681,0.18214492753623185
M0065,Sinner,Zverev,2.96,0.516,1,0.33783783783783783,0.17816216216216219
M0113,Osaka,Sabalenka,2.85,0.524,0,0.3508771929824561,0.1731228070175439
M0003,Osaka,Swiatek,2.57,0.559,1,0.38910505836575876,0.1698949416342413
M0079,Rybakina,Medvedev,2.4,0.585,0,0.4166666666666667,0.16833333333333328
M0006,Alcaraz,Swiatek,2.43,0.578,0,0.4115226337448559,0.16647736625514403
M0063,Osaka,Rublev,2.41,0.579,1,0.41493775933609955,0.1640622406639004
M0104,Sinner,Swiatek,2.36,0.584,0,0.42372881355932207,0.1602711864406779
M0046,Sinner,Swiatek,3.23,0.466,1,0.30959752321981426,0.15640247678018576
M0037,Rybakina,Zverev,2.96,0.493,0,0.33783783783783783,0.15516216216216216
M0062,Osaka,Pegula,2.73,0.52,0,0.3663003663003663,0.15369963369963374
M0087,Osaka,Pegula,2.98,0.489,0,0.33557046979865773,0.15342953020134226
M0052,Osaka,Medvedev,2.31,0.586,0,0.4329004329004329,0.15309956709956707
M0112,Rybakina,Medvedev,3.45,0.442,0,0.2898550724637681,0.15214492753623188
M0093,Gauff,Medvedev,3.19,0.464,0,0.31347962382445144,0.1505203761755486
M0001,Djokovic,Medvedev,2.94,0.482,0,0.3401360544217687,0.1418639455782313
M0048,Osaka,Swiatek,2.41,0.555,1,0.41493775933609955,0.1400622406639005
M0109,Osaka,Pegula,2.07,0.621,1,0.48309178743961356,0.13790821256038643
M0009,Sinner,Medvedev,2.84,0.485,1,0.35211267605633806,0.13288732394366193
M0014,Gauff,Pegula,2.85,0.483,1,0.3508771929824561,0.13212280701754386
M0089,Djokovic,Medvedev,2.71,0.5,1,0.36900369003690037,0.13099630996309963
M0072,Alcaraz,Sabalenka,2.1,0.606,1,0.47619047619047616,0.12980952380952382
M0047,Rybakina,Pegula,3.19,0.436,1,0.31347962382445144,0.12252037617554856
M0070,Osaka,Zverev,3.4,0.414,0,0.29411764705882354,0.11988235294117644
M0042,Djokovic,Sabalenka,2.27,0.56,1,0.44052863436123346,0.11947136563876659
M0066,Osaka,Sabalenka,2.5,0.518,1,0.4,0.118
M0002,Djokovic,Rublev,2.04,0.608,1,0.49019607843137253,0.11780392156862746
M0007,Osaka,Swiatek,2.13,0.586,1,0.4694835680751174,0.11651643192488259
M0094,Alcaraz,Sabalenka,3.04,0.44,1,0.32894736842105265,0.11105263157894735
M0073,Alcaraz,Rublev,3.23,0.42,1,0.30959752321981426,0.11040247678018572
M0114,Djokovic,Zverev,3.39,0.403,0,0.2949852507374631,0.1080147492625369
M0056,Rybakina,Medvedev,2.6,0.488,0,0.3846153846153846,0.10338461538461541
M0033,Djokovic,Swiatek,2.79,0.461,0,0.35842293906810035,0.10257706093189967
M0049,Rybakina,Pegula,3.42,0.392,1,0.29239766081871343,0.09960233918128658
M0054,Djokovic,Zverev,2.16,0.562,0,0.4629629629629629,0.09903703703703715
M0086,Sinner,Medvedev,2.11,0.567,0,0.47393364928909953,0.09306635071090041
M0102,Osaka,Rublev,2.96,0.43,0,0.33783783783783783,0.09216216216216216
M0058,Gauff,Swiatek,3.33,0.392,0,0.3003003003003003,0.09169969969969971
M0038,Osaka,Medvedev,3.06,0.418,0,0.32679738562091504,0.09120261437908495
M0098,Sinner,Sabalenka,3.38,0.385,1,0.2958579881656805,0.08914201183431952
M0076,Djokovic,Medvedev,2.86,0.438,1,0.3496503496503497,0.08834965034965031
M0021,Alcaraz,Rublev,2.69,0.456,0,0.3717472118959108,0.0842527881040892
M0026,Sinner,Zverev,2.43,0.49,1,0.4115226337448559,0.07847736625514407
M0055,Djokovic,Medvedev,1.97,0.584,0,0.5076142131979695,0.07638578680203045
M0107,Djokovic,Swiatek,2.79,0.432,1,0.35842293906810035,0.07357706093189964
M0035,Rybakina,Medvedev,2.98,0.407,1,0.33557046979865773,0.07142953020134224
M0078,Gauff,Pegula,2.21,0.517,1,0.45248868778280543,0.06451131221719458
M0090,Osaka,Medvedev,3.01,0.396,0,0.33222591362126247,0.06377408637873755
M0059,Djokovic,Medvedev,3.1,0.384,0,0.3225806451612903,0.061419354838709694
M0119,Djokovic,Sabalenka,2.07,0.538,0,0.48309178743961356,0.05490821256038647
