match_id,player_a,player_b,odds,p,result
M0000,Osaka,Pegula,2.83,0.582,0
M0001,Djokovic,Medvedev,2.94,0.482,0
M0002,Djokovic,Rublev,2.04,0.608,1
M0003,Osaka,Swiatek,2.57,0.559,1
M0004,Alcaraz,Swiatek,1.97,0.378,0
M0005,Osaka,Swiatek,2.69,0.643,0
M0006,Alcaraz,Swiatek,2.43,0.578,0
M0007,Osaka,Swiatek,2.13,0.586,1
M0008,Rybakina,Zverev,2.07,0.388,1
M0009,Sinner,Medvedev,2.84,0.485,1
M0010,Alcaraz,Rublev,2.17,0.461,0
M0011,Rybakina,Zverev,3.38,0.628,0
M0012,Djokovic,Rublev,2.83,0.543,1
M0013,Alcaraz,Pegula,2.45,0.597,1
M0014,Gauff,Pegula,2.85,0.483,1
M0015,Alcaraz,Rublev,1.94,0.418,0
M0016,Alcaraz,Pegula,3.43,0.516,0
M0017,Rybakina,Swiatek,2.67,0.369,1
M0018,Alcaraz,Zverev,3.15,0.598,1
M0019,Djokovic,Zverev,2.03,0.539,0
M0020,Alcaraz,Rublev,2.68,0.577,1
M0021,Alcaraz,Rublev,2.69,0.456,0
M0022,Sinner,Swiatek,3.4,0.641,1
M0023,Gauff,Zverev,2.81,0.618,1
M0024,Alcaraz,Rublev,2.66,0.584,0
M0025,Rybakina,Zverev,2.33,0.408,1
M0026,Sinner,Zverev,2.43,0.49,1
M0027,Gauff,Rublev,2.73,0.363,1
M0028,Gauff,Sabalenka,2.6,0.396,1
M0029,Osaka,Swiatek,1.93,0.555,1
M0030,Djokovic,Sabalenka,3.22,0.573,1
M0031,Osaka,Pegula,3.33,0.64,1
M0032,Osaka,Swiatek,2.12,0.448,1
M0033,Djokovic,Swiatek,2.79,0.461,0
M0034,Sinner,Zverev,2.07,0.491,0
M0035,Rybakina,Medvedev,2.98,0.407,1
M0036,Alcaraz,Medvedev,2.35,0.389,1
M0037,Rybakina,Zverev,2.96,0.493,0
M0038,Osaka,Medvedev,3.06,0.418,0
M0039,Alcaraz,Medvedev,3.13,0.551,0
M0040,Gauff,Swiatek,2.07,0.481,1
M0041,Sinner,Rublev,3.37,0.6,1
M0042,Djokovic,Sabalenka,2.27,0.56,1
M0043,Djokovic,Swiatek,1.96,0.444,1
M0044,Rybakina,Zverev,2.79,0.6,1
M0045,Alcaraz,Zverev,2.49,0.591,1
M0046,Sinner,Swiatek,3.23,0.466,1
M0047,Rybakina,Pegula,3.19,0.436,1
M0048,Osaka,Swiatek,2.41,0.555,1
M0049,Rybakina,Pegula,3.42,0.392,1
M0050,Sinner,Swiatek,2.37,0.41,0
M0051,Djokovic,Zverev,2.72,0.352,1
M0052,Osaka,Medvedev,2.31,0.586,0
M0053,Alcaraz,Rublev,3.4,0.549,1
M0054,Djokovic,Zverev,2.16,0.562,0
M0055,Djokovic,Medvedev,1.97,0.584,0
M0056,Rybakina,Medvedev,2.6,0.488,0
M0057,Osaka,Swiatek,3.49,0.521,0
M0058,Gauff,Swiatek,3.33,0.392,0
M0059,Djokovic,Medvedev,3.1,0.384,0
M0060,Djokovic,Swiatek,3.33,0.551,0
M0061,Sinner,Swiatek,3.33,0.491,1
M0062,Osaka,Pegula,2.73,0.52,0
M0063,Osaka,Rublev,2.41,0.579,1
M0064,Rybakina,Sabalenka,3.14,0.54,0
M0065,Sinner,Zverev,2.96,0.516,1
M0066,Osaka,Sabalenka,2.5,0.518,1
M0067,Alcaraz,Pegula,2.05,0.441,0
M0068,Sinner,Sabalenka,3.09,0.359,1
M0069,Osaka,Swiatek,2.32,0.481,1
M0070,Osaka,Zverev,3.4,0.414,0
M0071,Rybakina,Pegula,2.29,0.473,1
M0072,Alcaraz,Sabalenka,2.1,0.606,1
M0073,Alcaraz,Rublev,3.23,0.42,1
M0074,Rybakina,Medvedev,2.15,0.367,1
M0075,Gauff,Sabalenka,2.19,0.434,1
M0076,Djokovic,Medvedev,2.86,0.438,1
M0077,Rybakina,Zverev,3.3,0.549,0
M0078,Gauff,Pegula,2.21,0.517,1
M0079,Rybakina,Medvedev,2.4,0.585,0
M0080,Osaka,Rublev,3.14,0.549,0
M0081,Gauff,Medvedev,3.45,0.472,0
M0082,Sinner,Sabalenka,2.7,0.594,1
M0083,Djokovic,Swiatek,2.13,0.4,0
M0084,Alcaraz,Pegula,1.92,0.357,0
M0085,Alcaraz,Rublev,2.27,0.377,0
M0086,Sinner,Medvedev,2.11,0.567,0
M0087,Osaka,Pegula,2.98,0.489,0
M0088,Rybakina,Sabalenka,2.09,0.398,0
M0089,Djokovic,Medvedev,2.71,0.5,1
M0090,Osaka,Medvedev,3.01,0.396,0
M0091,Djokovic,Zverev,2.83,0.559,1
M0092,Alcaraz,Pegula,2.22,0.484,0
M0093,Gauff,Medvedev,3.19,0.464,0
M0094,Alcaraz,Sabalenka,3.04,0.44,1
M0095,Djokovic,Rublev,3.08,0.539,0
M0096,Osaka,Swiatek,2.11,0.459,1
M0097,Osaka,Swiatek,2.1,0.376,0
M0098,Sinner,Sabalenka,3.38,0.385,1
M0099,Djokovic,Medvedev,2.54,0.639,0
M0100,Osaka,Zverev,2.38,0.623,1
M0101,Sinner,Sabalenka,2.68,0.56,0
M0102,Osaka,Rublev,2.96,0.43,0
M0103,Sinner,Sabalenka,3.43,0.641,1
M0104,Sinner,Swiatek,2.36,0.584,0
M0105,Osaka,Swiatek,3.38,0.565,0
M0106,Alcaraz,Rublev,1.94,0.485,0
M0107,Djokovic,Swiatek,2.79,0.432,1
M0108,Djokovic,Rublev,2.91,0.379,0
M0109,Osaka,Pegula,2.07,0.621,1
M0110,Gauff,Swiatek,2.12,0.487,0
M0111,Gauff,Pegula,2.57,0.411,1
M0112,Rybakina,Medvedev,3.45,0.442,0
M0113,Osaka,Sabalenka,2.85,0.524,0
M0114,Djokovic,Zverev,3.39,0.403,0
M0115,Alcaraz,Medvedev,3.19,0.607,1
M0116,Alcaraz,Sabalenka,2.65,0.578,0
M0117,Gauff,Medvedev,3.16,0.566,0
M0118,Osaka,Rublev,1.93,0.48,0
M0119,Djokovic,Sabalenka,2.07,0.538,0
